"Chromosome","Start","End","Gene"
"16",266861453,266861453,"Gene_1"
"5",260485605,260485605,"Gene_2"
"12",226177344,226177344,"Gene_3"
"15",124220246,278636004,"Gene_4"
"9",293983233,293983233,"Gene_5"
"5",24933392,61983407,"Gene_6"
"6",175946919,175946919,"Gene_7"
"16",209917205,209917205,"Gene_8"
"4",295190863,295190863,"Gene_9"
"2",197239905,197239905,"Gene_10"
"7",225072882,233704621,"Gene_11"
"6",284701500,284701500,"Gene_12"
"15",253392874,253392874,"Gene_13"
"14",177874489,214401895,"Gene_14"
"Y",293509283,293509283,"Gene_15"
"14",230361654,230361654,"Gene_16"
"4",87192235,149465043,"Gene_17"
"4",240964135,240964135,"Gene_18"
"8",206082083,247198328,"Gene_19"
"Y",224121645,224121645,"Gene_20"
"3",172378977,172378977,"Gene_21"
"4",235944374,247419964,"Gene_22"
"5",72933394,72933394,"Gene_23"
"2",92043092,267260865,"Gene_24"
"15",82259473,140240467,"Gene_25"
"8",165269342,215178547,"Gene_26"
"Y",215245717,228612817,"Gene_27"
"16",272961832,272961832,"Gene_28"
"12",73476052,168231193,"Gene_29"
"3",663125,261022176,"Gene_30"
"9",290813621,290813621,"Gene_31"
"X",94124731,94124731,"Gene_32"
"4",110750803,205322603,"Gene_33"
"8",103856557,194467046,"Gene_34"
"10",171677052,186574802,"Gene_35"
"11",241763024,241763024,"Gene_36"
"2",266677829,266677829,"Gene_37"
"15",107641837,164743417,"Gene_38"
"17",203209860,235581117,"Gene_39"
"6",19738304,162855920,"Gene_40"
"X",180956061,180956061,"Gene_41"
"6",208412720,208412720,"Gene_42"
"17",115123217,115123217,"Gene_43"
"17",56312521,255217007,"Gene_44"
"8",24796262,173549517,"Gene_45"
"17",71773571,167605361,"Gene_46"
"8",162018132,162018132,"Gene_47"
"10",203308884,203308884,"Gene_48"
"15",150299909,227233989,"Gene_49"
"3",157716188,157716188,"Gene_50"
"9",239619782,239619782,"Gene_51"
"16",154038327,154038327,"Gene_52"
"3",66463416,66463416,"Gene_53"
"10",215533362,215533362,"Gene_54"
"13",21226050,53390640,"Gene_55"
"3",166807910,166807910,"Gene_56"
"X",124836131,198908006,"Gene_57"
"18",42772499,61823909,"Gene_58"
"6",290517361,290517361,"Gene_59"
"Y",272526435,272526435,"Gene_60"
"9",79219327,281283555,"Gene_61"
"7",241991882,241991882,"Gene_62"
"X",95339237,203637775,"Gene_63"
"6",10925742,166835010,"Gene_64"
"5",106226906,228453276,"Gene_65"
"12",80694880,80694880,"Gene_66"
"8",171011087,263929035,"Gene_67"
"16",118611091,118611091,"Gene_68"
"1",249514090,249514090,"Gene_69"
"4",5512607,293148632,"Gene_70"
"X",220879999,288531583,"Gene_71"
"9",36127796,36127796,"Gene_72"
"Y",248252309,248252309,"Gene_73"
"17",244779308,244779308,"Gene_74"
"6",251920008,251920008,"Gene_75"
"6",116375120,151908471,"Gene_76"
"13",148560899,168211943,"Gene_77"
"17",91257686,145004817,"Gene_78"
"2",214219532,214219532,"Gene_79"
"6",222888802,222888802,"Gene_80"
"2",103816070,224588054,"Gene_81"
"16",236871453,267770019,"Gene_82"
"11",291995909,291995909,"Gene_83"
"4",24601341,53766148,"Gene_84"
"3",225696542,225696542,"Gene_85"
"4",56264217,56264217,"Gene_86"
"10",249911106,249911106,"Gene_87"
"6",95210649,95210649,"Gene_88"
"6",183426046,183426046,"Gene_89"
"9",243923061,243923061,"Gene_90"
"11",119411994,119411994,"Gene_91"
"X",85853726,124914622,"Gene_92"
"14",268564389,268564389,"Gene_93"
"8",3523320,22999503,"Gene_94"
"17",163875539,163875539,"Gene_95"
"13",78763127,108215912,"Gene_96"
"16",43630480,195428382,"Gene_97"
"2",292369133,292369133,"Gene_98"
"6",272185417,272185417,"Gene_99"
"11",1120585,93231487,"Gene_100"
"6",272465393,272465393,"Gene_101"
"X",278045435,278045435,"Gene_102"
"15",288473444,288473444,"Gene_103"
"14",213734859,251615109,"Gene_104"
"X",288682353,288682353,"Gene_105"
"X",240743091,240743091,"Gene_106"
"7",179841203,179841203,"Gene_107"
"9",107385953,268086279,"Gene_108"
"16",58477740,73302681,"Gene_109"
"8",103654254,103654254,"Gene_110"
